Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
junit:junit:4.13.2,junit,,Test,1,
com.google.code.findbugs:jsr305:3.0.2,com.google.code.findbugs,,Nullable,1,
net.jcip:jcip-annotations:1.0,net.jcip,,ThreadSafe,1,
org.apache.logging.log4j:log4j-api:2.25.3,org.apache.logging.log4j,,"Logger, LogManager",1,
org.apache.ws.commons.util:ws-commons-util:1.0.2,org.apache.ws.commons.util,,NamespaceContextImpl,1,
com.evolvedbinary.j8fu:j8fu:1.24.0,com.evolvedbinary.j8fu,,Tuple,1,
com.evolvedbinary.thirdparty.org.apache.xmlrpc:xmlrpc-server:5.0.0,com.evolvedbinary.thirdparty.org.apache.xmlrpc,,"XmlRpcStreamConfig, TypeFactoryImpl, TypeSerializer, XmlRpcController, TypeParser",1,
net.sf.xmldb-org:xmldb-api:2.0.0,net.sf.xmldb-org,,XMLDBException,1,
jakarta.servlet:jakarta.servlet-api:6.0.0,jakarta.servlet,,"ServletContext, ServletConfig, HttpServletResponse, ServletException, HttpServletRequest",1,
com.github.ben-manes.caffeine:caffeine:3.2.3,com.github.ben-manes.caffeine,,"Caffeine, Cache",1,
net.sf.saxon:Saxon-HE:12.5,net.sf.saxon,,"Processor, Configuration",1,
it.unimi.dsi:fastutil:8.5.18,it.unimi.dsi,,"Long2ObjectMap, Long2ObjectMap.Entry",1,
org.apache.commons:commons-pool2:2.13.1,org.apache.commons,,"BasePooledObjectFactory, DefaultPooledObject, PooledObject",1,
commons-io:commons-io:2.21.0,commons-io,,"UnsynchronizedByteArrayOutputStream, UnsynchronizedByteArrayInputStream",1,
com.ibm.icu:icu4j:76.1,com.ibm.icu,,Collator,1,
se.softhouse:jargo:0.4.14,se.softhouse,,"ArgumentException, CommandLineParser, Argument, ParsedArguments",1,
org.aspectj:aspectjrt:1.9.25.1,org.aspectj,,"AfterReturning, JoinPoint, Pointcut, Aspect, MethodSignature, Before",1,
com.fasterxml.jackson.core:jackson-core:2.21.1,com.fasterxml.jackson.core,,"JsonFactory, JsonEncoding, DefaultPrettyPrinter, JsonGenerator",1,
com.evolvedbinary.multilock:multilock:1.0.1,com.evolvedbinary.multilock,,MultiLock,1,
org.quartz-scheduler:quartz:2.5.2,org.quartz-scheduler,,"Job, JobExecutionException, JobExecutionContext, JobDataMap",1,
at.yawk.lz4:lz4-java:1.10.4,at.yawk.lz4,,"XXHashFactory, StreamingXXHash64",1,
com.fifesoft:rsyntaxtextarea:3.6.2,com.fifesoft,,"RTextScrollPane, SyntaxConstants, RSyntaxTextArea",1,
org.apache.ant:ant:1.10.15,org.apache.ant,,DirectoryScanner,1,
org.jline:jline:4.0.4,org.jline,,"ParsedLine, Terminal, TerminalBuilder, LineReader, Completer, LineReaderBuilder, UserInterruptException, History",1,
com.evolvedbinary.thirdparty.org.apache.xmlrpc:xmlrpc-client:5.0.0,com.evolvedbinary.thirdparty.org.apache.xmlrpc,,"XmlRpcClientConfigImpl, XmlRpcClient",1,
net.bytebuddy:byte-buddy:1.18.7,net.bytebuddy,,"InvocationHandlerAdapter, ByteBuddy, DynamicType.Builder, DynamicType, ElementMatchers",1,
commons-codec:commons-codec:1.21.0,commons-codec,,"Hex, Base64",1,
org.apache.commons:commons-lang3:3.20.0,org.apache.commons,,StringUtils,1,
org.exist-db.thirdparty.xerces:xercesImpl:2.12.2,org.exist-db.thirdparty.xerces,,"XMLEntityDescriptionImpl, SAXInputSource, XMLInputSource, XSDDescription, XMLSchemaDescription, XMLResourceIdentifier, XNIException, XMLDTDDescription",1,
org.xmlresolver:xmlresolver:6.0.21,org.xmlresolver,,Resolver,1,
io.lacuna:bifurcan:0.2.0-rc1,io.lacuna,,IEntry,1,
nu.validator:htmlparser:1.4.16,nu.validator,,"HtmlParser, XmlViolationPolicy",1,
de.bottlecaps:markup-blitz:1.10,de.bottlecaps,,"BlitzParseException, Blitz.Option, Blitz, Parser, BlitzException",1,
org.bouncycastle:bcprov-jdk18on:1.83,org.bouncycastle,,Blake3Digest,1,
antlr:antlr:2.7.7,antlr,,"AST, TokenStreamException, RecognitionException",1,
org.relaxng:jing:20241231,org.relaxng,,"SchemaReader, ValidateProperty, PropertyId, CompactSchemaReader, PropertyMapBuilder, ValidationDriver",1,
jakarta.websocket:jakarta.websocket-api:2.1.0,jakarta.websocket,,ServerEndpoint,1,
jakarta.websocket:jakarta.websocket-client-api:2.1.0,jakarta.websocket,,"OnClose, OnMessage, OnOpen, CloseReason, Session",1,
com.github.krukow:clj-ds:0.0.4,com.github.krukow,,"ISeq, PersistentVector, IPersistentVector, ITransientCollection, RT",1,
org.jgrapht:jgrapht-core:1.5.2,org.jgrapht,,"ShortestPathAlgorithm, Graph, DefaultEdge, ConcurrencyUtil, DefaultGraphType, SupplierUtil, TransitNodeRoutingShortestPath",1,
org.jgrapht:jgrapht-opt:1.5.2,org.jgrapht,,FastutilMapGraph,1,
jakarta.xml.bind:jakarta.xml.bind-api:4.0.5,jakarta.xml.bind,,"XmlAttribute, XmlRootElement, XmlType, XmlAccessType, XmlAccessorType, XmlSchemaType",1,
org.exquery:exquery-common:0.2.1,org.exquery,,HttpRequest,1,
org.hamcrest:hamcrest:3.0,org.hamcrest,,"Description, DiagnosingMatcher",1,
org.xmlunit:xmlunit-core:2.11.0,org.xmlunit,,"DiffBuilder, Input, Convert, Diff",1,
org.exist-db.thirdparty.javax.xml.xquery:xqjri:20080114-133351,org.exist-db.thirdparty.javax.xml.xquery,,"XQItemType, XQException",1,
org.expath.packaging:pkg-java:2.0.1,org.expath.packaging,,"BatchUserInteraction, Packages, DependencyVersion, FileSystemStorage, XarSource, UserInteractionStrategy, FileSystemStorage.FileSystemResolver, PackageException",1,
com.siemens.ct.exi:exificient:1.0.7,com.siemens.ct.exi,,SAXEncoder,1,
com.siemens.ct.exi:exificient-core:1.0.7,com.siemens.ct.exi,,"EXIException, EXIFactory, DefaultEXIFactory, Grammars",1,
com.siemens.ct.exi:exificient-grammars:1.0.7,com.siemens.ct.exi,,GrammarFactory,1,
com.fasterxml.uuid:java-uuid-generator:5.2.0,com.fasterxml.uuid,,"RandomBasedGenerator, NameBasedGenerator, Generators",1,
commons-logging:commons-logging:1.3.6,commons-logging,,"LogFactory, Log",1,
org.eclipse.jetty.ee10:jetty-ee10-webapp:12.0.16,org.eclipse.jetty.ee10,,WebAppContext,1,
org.eclipse.jetty.ee10:jetty-ee10-servlet:12.0.16,org.eclipse.jetty.ee10,,"ServletContextHandler, ServletHolder",1,
org.eclipse.jetty:jetty-server:12.0.16,org.eclipse.jetty,,"ContextHandler, Server, Connector, Handler, Handler.Wrapper, Handler.Container, NetworkConnector",1,
org.eclipse.jetty.ee10.websocket:jetty-ee10-websocket-jakarta-server:12.0.16,org.eclipse.jetty.ee10.websocket,,JakartaWebSocketServletContainerInitializer,1,
org.eclipse.jetty:jetty-util:12.0.16,org.eclipse.jetty,,"LifeCycle, Jetty, Resource, ResourceFactory, LifeCycle.Listener",1,
org.eclipse.jetty:jetty-xml:12.0.16,org.eclipse.jetty,,XmlConfiguration,1,
org.easymock:easymock:5.6.0,org.easymock,,EasyMock,1,
org.assertj:assertj-core:3.27.7,org.assertj,,ThrowableAssert.ThrowingCallable,1,
org.junit.jupiter:junit-jupiter-api:6.0.3,org.junit.jupiter,,"Test, BeforeEach, AfterEach, ExtendWith",1,
org.apache.httpcomponents:httpclient:4.5.14,org.apache.httpcomponents,,"PoolingHttpClientConnectionManager, CloseableHttpClient, HttpClients",1,
org.apache.httpcomponents:httpcore:4.4.16,org.apache.httpcomponents,,"HttpResponse, HttpStatus",1,
org.apache.httpcomponents:fluent-hc:4.5.14,org.apache.httpcomponents,,"Executor, Request",1,
org.hamcrest:hamcrest-core:1.3,org.hamcrest,,Matcher,1,
org.xmlunit:xmlunit-legacy:2.11.0,org.xmlunit,,Diff,1,
com.googlecode.junit-toolbox:junit-toolbox:2.4,com.googlecode.junit-toolbox,,ParallelRunner,1,
org.junit.jupiter:junit-jupiter-params:6.0.3,org.junit.jupiter,,"ParameterizedTest, ValueSource",1,
org.apache.httpcomponents:httpmime:4.5.14,org.apache.httpcomponents,,MultipartEntityBuilder,1,
org.eclipse.jetty:jetty-http:12.0.16,org.eclipse.jetty,,HttpStatus,1,
org.apache.ant:ant-testutil:1.10.15,org.apache.ant,,BuildFileRule,1,
commons-daemon:commons-daemon:1.5.1,commons-daemon,,"DaemonContext, DaemonInitException, Daemon",1,
org.apache.tika:tika-core:3.2.3,org.apache.tika,,Metadata,1,
org.expath.tools:tools-java:0.7.0,org.expath.tools,,ToolsException,1,
org.expath.http.client:http-client-java:1.4.1,org.expath.http.client,,"TreeBuilder, HttpConstants, HeaderSet, HttpClientException",1,
org.exquery:exquery-xquery:0.2.1,org.exquery,,"AbstractTypedValue, Type",1,
org.exquery:exquery-restxq-api:0.2.1,org.exquery,,RestXqServiceException,1,
org.exquery:exquery-xquery3:0.2.1,org.exquery,,FunctionSignature,1,
org.exquery:exquery-serialization-annotations:0.2.1,org.exquery,,"MethodAnnotation, AbstractYesNoSerializationAnnotation, EncodingAnnotation, MediaTypeAnnotation",1,
org.exquery:exquery-serialization-annotations-api:0.2.1,org.exquery,,SerializationAnnotation,1,
org.apache.commons:commons-collections4:4.5.0,org.apache.commons,,"BidiMap, DualHashBidiMap",1,
org.exquery:exquery-restxq:0.2.1,org.exquery,,RestXqServiceRegistryImpl,1,
org.jctools:jctools-core:4.0.6,org.jctools,,MpmcAtomicArrayQueue,1,
org.exquery:exquery-annotations-common-api:0.2.1,org.exquery,,AnnotationException,1,
org.exist-db.thirdparty.com.ettrema:milton-api:1.8.1.3,org.exist-db.thirdparty.com.ettrema,,DefaultHttp11ResponseHandler,1,
com.evolvedbinary.thirdparty.com.ettrema:milton-servlet:1.8.1.3-jakarta-ee10,com.evolvedbinary.thirdparty.com.ettrema,,"ServletHttpManager, MiltonServlet",1,
org.exist-db.thirdparty.com.ettrema:milton-client:1.8.1.3,org.exist-db.thirdparty.com.ettrema,,"File, HttpException, Host, Folder, HostBuilder, Resource",1,
org.xqdoc:xqdoc-conversion:1.6,org.xqdoc,,"XQDocPayload, XQDocException, XQDocController",1,
org.apache.lucene:lucene-core:10.3.0,org.apache.lucene,,"MatchesIterator, LeafReaderContext, Analyzer, Query, ScoreMode, BytesRef, IndexableField, Weight",1,
org.apache.lucene:lucene-memory:10.3.0,org.apache.lucene,,MemoryIndex,1,
org.apache.lucene:lucene-queryparser:10.3.0,org.apache.lucene,,"CommonQueryParserConfiguration, QueryParser, QueryParserBase, QueryParser.Operator",1,
org.apache.lucene:lucene-facet:10.3.0,org.apache.lucene,,DrillDownQuery,1,
org.apache.lucene:lucene-queries:10.3.0,org.apache.lucene,,SpanQuery,1,
org.apache.lucene:lucene-analysis-common:10.3.0,org.apache.lucene,,PerFieldAnalyzerWrapper,1,
org.apache.lucene:lucene-analysis-icu:10.3.0,org.apache.lucene,,ICUFoldingFilter,1,
io.github.hakky54:logcaptor:2.12.5,io.github.hakky54,,LogCaptor,1,
org.locationtech.jts:jts-core:1.20.0,org.locationtech.jts,,"Geometry, WKBWriter, WKTWriter",1,
org.geotools:gt-main:34.2,org.geotools,,GeometryCoordinateSequenceTransformer,1,
org.geotools:gt-referencing:34.2,org.geotools,,CRS,1,
org.geotools:gt-xml:34.2,org.geotools,,"GMLHandlerJTS, GMLFilterGeometry, GMLFilterDocument, GeometryTransformer",1,
org.geotools:gt-api:34.2,org.geotools,,"TransformException, OperationNotFoundException, FactoryException, MathTransform",1,
org.apache.commons:commons-compress:1.28.0,org.apache.commons,,"TarArchiveInputStream, TarArchiveEntry",1,
org.z3950.zing:cql-java:1.13,org.z3950.zing,,"CQLNode, CQLParser, CQLParseException",1,
jakarta.activation:jakarta.activation-api:2.1.4,jakarta.activation,,"MimeType, MimeTypeParameterList, MimeTypeParseException",1,
jakarta.mail:jakarta.mail-api:2.1.5,jakarta.mail,,"Folder, Flags, InternetAddress, Part, MimeBodyPart, MessagingException, Address, Message",1,
com.icegreen:greenmail:2.1.8,com.icegreen,,"GreenMailUtil, ServerSetup",1,
org.eclipse.angus:jakarta.mail:2.0.5,org.eclipse.angus,,"Address, BodyPart, MimeMessage, MimeMultipart, Message.RecipientType, MessagingException, Message",1,
com.icegreen:greenmail-junit4:2.1.8,com.icegreen,,GreenMailRule,1,
com.zaxxer:HikariCP:7.0.2,com.zaxxer,,"HikariConfig, HikariDataSource",1,
com.github.h-thurow:simple-jndi:0.25.0,com.github.h-thurow,,JndiLoader,1,
com.h2database:h2:2.4.240,com.h2database,,"JdbcDataSourceFactory, JdbcDataSource",1,
xml-apis:xml-apis:1.4.01,xml-apis,,"SAXException, ContentHandler",1,
org.apache.xmlgraphics:xmlgraphics-commons:2.11,org.apache.xmlgraphics,,"ResourceResolver, URIResolverAdapter",1,
org.apache.xmlgraphics:fop-core:2.11,org.apache.xmlgraphics,,"ConfigurationException, EnvironmentProfile, FopFactory, FOUserAgent, ResourceResolverFactory, FopFactoryBuilder, EnvironmentalProfileFactory, Configuration",1,
org.apache.avalon.framework:avalon-framework-api:4.3.1,org.apache.avalon.framework,,"ConfigurationException, Configuration",1,
org.apache.avalon.framework:avalon-framework-impl:4.3.1,org.apache.avalon.framework,,"SAXConfigurationHandler, DefaultConfigurationBuilder",1,
org.apache.xmlgraphics:fop-events:2.11,org.apache.xmlgraphics,,"EventFormatter, EventListener, Event, EventSeverity",1,
com.oracle.database.jdbc:ojdbc11:23.26.1.0.0,com.oracle.database.jdbc,,OracleTypes,1,
org.openjdk.jcstress:jcstress-core:0.16,org.openjdk.jcstress,,"State, Expect, Actor, Arbiter, Z_Result, JCStressTest, Outcome",1,
org.openjdk.jmh:jmh-core:1.37,org.openjdk.jmh,,"State, Benchmark, Scope",1,
